# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 32-bit Version 12.0 Build 263 08/02/2012 Service Pack 2 SJ Web Edition
# File: C:\Users\Jashwanth\Desktop\4th_sem\altera\ps2-interface\keyboard\monitor.csv
# Generated on: Fri Aug 30 17:49:16 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
CLOCK_24[1],Input,PIN_A12,4,B4_N1,PIN_A12,,,,
CLOCK_24[0],Input,PIN_B12,4,B4_N1,PIN_B12,,,,
CLOCK_27[1],Input,PIN_E12,3,B3_N0,PIN_E12,,,,
CLOCK_27[0],Input,PIN_D12,3,B3_N0,PIN_D12,,,,
CLOCK_50,Input,PIN_L1,2,B2_N1,PIN_L1,,,,
EXT_CLOCK,Input,PIN_M21,6,B6_N0,PIN_M21,,,,
KEY[3],Input,PIN_T21,6,B6_N0,PIN_T21,,,,
KEY[2],Input,PIN_T22,6,B6_N0,PIN_T22,,,,
KEY[1],Input,PIN_R21,6,B6_N0,PIN_R21,,,,
KEY[0],Input,PIN_R22,6,B6_N0,PIN_R22,,,,
SW[9],Input,PIN_L2,2,B2_N1,PIN_L2,,,,
SW[8],Input,PIN_M1,1,B1_N0,PIN_M1,,,,
SW[7],Input,PIN_M2,1,B1_N0,PIN_M2,,,,
SW[6],Input,PIN_U11,8,B8_N0,PIN_U11,,,,
SW[5],Input,PIN_U12,8,B8_N0,PIN_U12,,,,
SW[4],Input,PIN_W12,7,B7_N1,PIN_W12,,,,
SW[3],Input,PIN_V12,7,B7_N1,PIN_V12,,,,
SW[2],Input,PIN_M22,6,B6_N0,PIN_M22,,,,
SW[1],Input,PIN_L21,5,B5_N1,PIN_L21,,,,
SW[0],Input,PIN_L22,5,B5_N1,PIN_L22,,,,
VGA_B[3],Output,PIN_B10,3,B3_N0,PIN_B10,,,,
VGA_B[2],Output,PIN_A10,3,B3_N0,PIN_A10,,,,
VGA_B[1],Output,PIN_D11,3,B3_N0,PIN_D11,,,,
VGA_B[0],Output,PIN_A9,3,B3_N0,PIN_A9,,,,
VGA_G[3],Output,PIN_A8,3,B3_N0,PIN_A8,,,,
VGA_G[2],Output,PIN_B9,3,B3_N0,PIN_B9,,,,
VGA_G[1],Output,PIN_C10,3,B3_N0,PIN_C10,,,,
VGA_G[0],Output,PIN_B8,3,B3_N0,PIN_B8,,,,
VGA_HS,Output,PIN_A11,3,B3_N0,PIN_A11,,,,
VGA_R[3],Output,PIN_B7,3,B3_N1,PIN_B7,,,,
VGA_R[2],Output,PIN_A7,3,B3_N1,PIN_A7,,,,
VGA_R[1],Output,PIN_C9,3,B3_N1,PIN_C9,,,,
VGA_R[0],Output,PIN_D9,3,B3_N0,PIN_D9,,,,
VGA_VS,Output,PIN_B11,3,B3_N0,PIN_B11,,,,
